CHL     CN1      0.420          1.702   CN1
CHL     CN2      0.420          1.702   CN2
CHL     CN3      0.420          1.702   CN3
CHL     NTM      -0.580         1.621   NTM
CHL     CB       0.320          1.760   CB 
PJ0     CA       0.550          1.760   CA 
PJ0     OA       -0.740         1.350   OA 
PJ0     P        1.710          1.638   P  
PJ0     OB       -0.680         1.350   OB 
PJ0     HB       0.440          0.001   HB 
PJ0     OG       -0.830         1.326   OG 
PJ0     HG       0.000          0.001   HG 
PJ0     OD       -0.450         1.350   OD 
PJ1     CA       0.550          1.760   CA 
PJ1     OA       -0.740         1.350   OA 
PJ1     P        1.710          1.638   P  
PJ1     OB       -0.830         1.326   OB 
PJ1     HB       0.000          0.001   HB 
PJ1     OG       -0.680         1.350   OG 
PJ1     HG       0.440          0.001   HG 
PJ1     OD       -0.450         1.350   OD 
PJ2     CA       0.390          1.760   CA 
PJ2     OA       -0.690         1.350   OA 
PJ2     P        1.710          1.638   P  
PJ2     OB       -0.900         1.471   OB 
PJ2     HB       0.000          0.001   HB 
PJ2     OG       -0.900         1.471   OG 
PJ2     HG       0.000          0.001   HG 
PJ2     OD       -0.610         1.350   OD 
DMX     CD       0.210          1.760   CD 
DMX     CE       0.420          1.945   CE 
DMX     OE       -0.750         1.350   OE 
DMX     C1A      0.850          1.525   C1A
DMX     O1A      -0.730         1.326   O1A
DMX     C1B      0.000          1.760   C1B
DMX     C1C      0.000          1.760   C1C
DMX     C1D      0.000          1.760   C1D
DMX     C1E      0.000          1.760   C1E
DMX     C1F      0.000          1.760   C1F
DMX     C1G      0.000          1.760   C1G
DMX     C1H      0.000          1.760   C1H
DMX     C1I      0.000          1.760   C1I
DMX     C1J      0.000          1.760   C1J
DMX     C1K      0.000          1.760   C1K
DMX     C1L      0.000          1.760   C1L
DMX     C1M      0.000          1.760   C1M
DMX     C1N      0.000          1.702   C1N
DMX     CZ       0.410          1.760   CZ 
DMX     OZ       -0.560         1.350   OZ 
DMX     C2A      0.830          1.525   C2A
DMX     O2A      -0.680         1.326   O2A
DMX     C2B      0.000          1.760   C2B
DMX     C2C      0.000          1.760   C2C
DMX     C2D      0.000          1.760   C2D
DMX     C2E      0.000          1.760   C2E
DMX     C2F      0.000          1.760   C2F
DMX     C2G      0.000          1.760   C2G
DMX     C2H      0.000          1.760   C2H
DMX     C2I      0.000          1.760   C2I
DMX     C2J      0.000          1.760   C2J
DMX     C2K      0.000          1.760   C2K
DMX     C2L      0.000          1.760   C2L
DMX     C2M      0.000          1.760   C2M
DMX     C2N      0.000          1.702   C2N
COX     C        0.180          1.945   C  
COX     O        -0.710         1.350   O  
COX     H        0.530          0.001   H  
ACE     CA       0.000          1.702   CA 
ACE     C        0.450          1.525   C  
ACE     O        -0.450         1.326   O  
